Position,Year,Make,Model,Time (min:sec),time (s),horsepower (hp),torque (lb-ft),kerb weight (lb),wheel base (in),width (in),height (in),RWD,AWD,FWD,0-60 (s),top speed (mph),manual,automatic,Comments,Sources
11,2003,Radical,SR3 Turbo,07:19.0,439,260,160,1102,93.3,70.8,41.7,1,0,0,3.2,147,1,0,weight: https://www.supercars.net/blog/2003-radical-sr3-turbo/ ,https://www.car.info/en-se/radical/sr3/sr3-19506182/specs
12,2013,Nissan,GT-R,07:19.1,439.1,545,463,3829,109.4,74.6,53.9,0,1,0,2.8,196,0,1,"width: https://www.carexpert.com.au/nissan/gt-r/2013-base-model-8ca2225b
top speed & 0-60: https://www.autoblog.com/buy/2013-Nissan-GT_R/review/ ",https://www.motortrend.com/cars/nissan/gt-r/2013/
13,2012,Chevrolet,Corvette ZR1,07:19.6,439.6,638,604,3333,105.7,75.9,48.7,1,0,0,3.4,205,1,0,top speed: https://www.autoblog.com/buy/2012-Chevrolet-Corvette-ZR1__2dr_Coupe/ ,https://www.edmunds.com/chevrolet/corvette/2012/zr1/st-101388744/features-specs/
14,2015,Ferrari,488 GTB,07:21.6,441.6,659.783,560.55,3251.818,104.3307,76.85039,47.75591,1,0,0,2.897,205.052,0,1,drive type & transmission: https://www.autoevolution.com/cars/ferrari-488-gtb-2015.html#aeng_ferrari-488-gtb-2015-39-v8-7at-670-hp ,https://www.ferrari.com/en-EN/auto/ferrari-488-gtb
15,2009,Dodge,Viper ACR,07:22.1,442.1,600,560,3408,98.8,75.2,47.6,1,0,0,3.6,173,1,0,,https://www.caranddriver.com/dodge/viper/specs/2009/dodge_viper_dodge-viper-srt10-coupe_2009
16,2011,Chevrolet,Corvette Z06,07:22.7,442.7,430,424,3208,105.7,72.6,49.1,1,0,0,4.2,198,1,0,top speed: https://www.automobile-catalog.com/performance/2011/1201475/chevrolet_corvette_z06.html#gsc.tab=0 ,https://www.edmunds.com/chevrolet/corvette/2011/coupe/st-101331280/features-specs/
17,2007,Gumpert,Apollo Sport,07:24.0,444,681,627,2646,106.3,78.5,43.5,1,0,0,2.9,224,1,0,,https://www.supercars.net/blog/2007-gumpert-apollo-sport/
18,2011,Nissan,GT-R,07:24.2,444.2,485,451,3933,109.4,74.9,54,0,1,0,3,196,0,1,,https://fastestlaps.com/tracks/nordschleife
19,2004,Maserati,MC12,07:24.3,444.3,624,480.89,2943,110,83,47,1,0,0,3.7,205.05,0,1,,https://www.auto-data.net/en/maserati-mc12-6.0-v12-624hp-10911
20,2005,Pagani,Zonda F Clubsport,07:24.4,444.4,632.2,575,2712,107.5,80.9,44.92,1,0,0,3.3,214,1,0,,https://fastestlaps.com/models/pagani-zonda-f-clubsport
21,2011,Lamborghini,Aventador LP700-4,07:25.0,445,680.6,509,3962,106,79.92,44.72,0,1,0,2.7,217,0,1,,https://fastestlaps.com/models/lamborghini-aventador-lp700-4
22,2002,Ferrari,Enzo,07:25.2,445.2,642,485,3261,104,80.12,45.16,1,0,0,3.1,221,0,1,,https://www.ultimatespecs.com/car-specs/Ferrari/3650/Ferrari-Enzo-F60-60-V12.html
23,2012,KTM,X-Bow R,07:25.7,445.7,355.1,332,1786,95.67,75.4,47.3,1,0,0,3.6,155,1,0,,https://fastestlaps.com/models/ktm-x-bow-rr
24,2014,Mercedes,SLS AMG Black Series,07:26.4,446.4,613.5,468,3724,105.5,77.8,49.5,1,0,0,3.2,196,0,1,,https://www.caranddriver.com/reviews/a15116405/2014-mercedes-benz-sls-amg-black-series-first-drive-review/
25,2008,Nissan,GT-R,07:26.7,446.7,466.5,433,3924,109,75,54,0,1,0,3.2,195,0,1,,https://fastestlaps.com/models/nissan-gt-r
